"","Feature","Variable","Value"
"1","Active_Disturbance","Human","0.6 (0.03)"
"2","Active_Disturbance","Livestock","0.51 (0.03)"
"3","Active_Disturbance","Machinery","0.12 (0.02)"
"4","Active_Disturbance","Dog","0.2 (0.02)"
"5","Active_Disturbance","No_active_disturbance","0.28 (0.02)"
"6","Infrastructure","Farm_hut","0.09 (0.02)"
"7","Infrastructure","Road","0.23 (0.03)"
"8","Infrastructure","Fence","0.6 (0.03)"
"9","Infrastructure","Settlement","0.19 (0.02)"
"10","Infrastructure","No_infrastructure","0.13 (0.02)"
"11","Infrastructure","Water_source","0.48 (0.03)"
"12","Infrastructure","Industrial_uses","0.01 (0)"
"13","Infrastructure","Powerline","0.52 (0.03)"
"14","Terrain","Flat","0.55 (0.03)"
"15","Terrain","Sloping","0.09 (0.01)"
"16","Terrain","Undulating","0.36 (0.03)"
"17","Substrate","Soil","0.8 (0.02)"
"18","Substrate","Sand","0.4 (0.03)"
"19","Substrate","Gravel","0.01 (0.01)"
"20","Substrate","Rocky","0 (0)"
"21","Landcover","Grassland","0.15 (0.02)"
"22","Landcover","Agriculture_active","0.17 (0.02)"
"23","Landcover","Agriculture_inactive","0.35 (0.03)"
"24","Landcover","Scrubland","0.6 (0.03)"
