X7_Cell_ID,Canal_length,Canal
BK1,0,0
BK5,0,0
BK13,0,0
BK14,0,0
BK24,0,0
BK29,19015.54622,1
BK45,504.3825683,1
BK47,4329.358599,1
BK48,0,0
BK50,50776.68848,1
BK57,16093.017,1
BK59,31888.55264,1
BK61,0,0
BK65,38954.2613,1
BK70,0,0
BK75,4547.73726,1
BK81,0,0
BK85,0,0
BK88,37169.56544,1
BK90,0,0
BK92,0,0
BK99,0,0
BK101,28646.28579,1
BK123,0,0
BK124,0,0
BK127,53854.96586,1
BK128,32764.13208,1
BK129,19598.19763,1
BK131,0,0
BK142,284.8229237,1
BK144,0,0
BK149,0,0
BK152,0,0
BK153,53103.42561,1
BK156,17232.73252,1
BK162,21637.91382,1
BK176,0,0
BK191,0,0
BK192,0,0
BK207,35221.7625,1
BK210,0,0
BK211,0,0
BK215,37042.58398,1
BK216,5672.266899,1
BK221,39646.81472,1
BK228,0,0
BK229,0,0
BK236,0,0
BK240,97.71241927,1
BK241,29926.98131,1
BK244,0,0
BK248,0,0
BK249,3074.205497,1
BK250,0,0
BK252,0,0
BK253,0,0
BK254,15814.43651,1
BK256,26553.45978,1
BK259,27639.5293,1
BK260,23152.46877,1
BK264,0,0
BK266,7388.925637,1
BK269,0,0
BK271,0,0
BK275,22762.36258,1
BK96,0,0
BK115,16229.53434,1
BK186,10397.28321,1
BK146,0,0
BK165,25525.55352,1
BK16,34385.76757,1
BK86,32744.93731,1
BK80,0,0
BK218,0,0
BK212,0,0
BK158,9946.488462,1
BK104,11623.95961,1
BK185,19770.16801,1
BK43,20325.94405,1
BK40,28317.56872,1
BK147,32313.77996,1
BK263,26631.15885,1
BK148,15857.86261,1
BK7,0,0
BK62,0,0
BK113,0,0
BK200,0,0
BK233,15179.67348,1
BK54,0,0
BK193,0,0
BK28,0,0
BK97,0,0
BK98,0,0
BK203,0,0
BK111,13108.88993,1
BK107,0,0
BK159,0,0
BK77,0,0
BK91,0,0
BK23,12784.49,1
