"","X7_Cell_ID","transect_length","Habitat_points","Bird_points"
"1","BK1",16,8,44
"2","BK101",16,9,52
"3","BK104",16,9,27
"4","BK107",18,8,32
"5","BK111",13,7,11
"6","BK113",18,8,37
"7","BK115",30,8,61
"8","BK123",12,7,34
"9","BK124",16,9,40
"10","BK127",20,10,42
"11","BK128",14,8,41
"12","BK129",15,9,15
"13","BK131",18,8,41
"14","BK14",22,12,50
"15","BK142",15,8,38
"16","BK144",12,8,25
"17","BK147",14,8,30
"18","BK148",18,11,24
"19","BK149",18,11,43
"20","BK152",14,10,29
"21","BK153",14,9,42
"22","BK156",11,7,23
"23","BK158",24,13,54
"24","BK159",14,8,50
"25","BK16",12,6,7
"26","BK162",14,8,5
"27","BK165",14,8,22
"28","BK176",13,8,12
"29","BK185",19,10,42
"30","BK186",11,6,32
"31","BK191",15,9,45
"32","BK193",16,9,30
"33","BK200",18,10,29
"34","BK203",15,9,42
"35","BK211",32,18,48
"36","BK212",15,7,30
"37","BK215",18,9,33
"38","BK216",14,7,14
"39","BK218",14,8,35
"40","BK221",15,8,30
"41","BK228",18,8,36
"42","BK229",15,9,53
"43","BK23",18,11,54
"44","BK233",18,11,43
"45","BK236",17,9,57
"46","BK24",14,10,51
"47","BK240",26,15,19
"48","BK241",16,8,20
"49","BK248",13,7,41
"50","BK249",15,8,16
"51","BK250",12,7,16
"52","BK252",12,7,27
"53","BK253",13,7,22
"54","BK256",18,11,24
"55","BK259",8,4,34
"56","BK260",20,11,23
"57","BK263",17,10,35
"58","BK264",10,6,10
"59","BK266",20,10,9
"60","BK269",16,10,41
"61","BK275",16,9,49
"62","BK28",19,11,28
"63","BK29",20,11,17
"64","BK40",14,8,39
"65","BK43",16,9,8
"66","BK45",14,9,15
"67","BK47",9,6,26
"68","BK48",18,12,33
"69","BK50",17,9,40
"70","BK54",16,9,38
"71","BK57",18,9,10
"72","BK59",16,9,45
"73","BK61",10,7,25
"74","BK62",16,9,26
"75","BK65",20,10,7
"76","BK7",16,9,41
"77","BK75",12,7,14
"78","BK77",30,15,62
"79","BK80",15,8,45
"80","BK85",16,10,23
"81","BK86",17,11,9
"82","BK88",17,9,26
"83","BK90",17,9,53
"84","BK91",19,10,37
"85","BK92",16,10,10
"86","BK96",14,7,50
"87","BK97",10,6,26
"88","BK98",20,12,32
"89","BK99",15,10,53
