"","X7_Cell_ID","Human","Livestock","Machinery","Dog","No_active_disturbance"
"1","BK1",0.375,0.5,0,0,0.375
"2","BK101",0.888888888888889,0.777777777777778,0.111111111111111,0.555555555555556,0.111111111111111
"3","BK104",0.555555555555556,0.666666666666667,0,0.111111111111111,0
"4","BK107",0.75,0.75,0.25,0,0.25
"5","BK111",0.714285714285714,0.714285714285714,0.571428571428571,0.142857142857143,0.285714285714286
"6","BK113",0.625,0.75,0.125,0,0.125
"7","BK115",0.25,0.625,0,0,0.375
"8","BK123",0.428571428571429,0.571428571428571,0.142857142857143,0.428571428571429,0.428571428571429
"9","BK124",0.888888888888889,0.555555555555556,0.111111111111111,0.444444444444444,0.111111111111111
"10","BK127",0.7,0.6,0,0.1,0.2
"11","BK128",0.25,0.25,0.125,0.125,0.75
"12","BK129",0.555555555555556,0.444444444444444,0,0.333333333333333,0.444444444444444
"13","BK131",0.75,0.625,0.375,0.375,0.25
"14","BK14",0.333333333333333,0.333333333333333,0,0.166666666666667,0.416666666666667
"15","BK142",0.625,0.875,0,0,0.125
"16","BK144",0.75,0.25,0.875,0,0.125
"17","BK147",0.625,0.375,0.25,0.25,0.375
"18","BK148",0.636363636363636,0.363636363636364,0,0.0909090909090909,0.363636363636364
"19","BK149",0.636363636363636,0.454545454545455,0.0909090909090909,0.181818181818182,0.272727272727273
"20","BK152",0.9,0.7,0.3,0.3,0.1
"21","BK153",0.888888888888889,0.333333333333333,0,0,0.111111111111111
"22","BK156",0.714285714285714,0.857142857142857,0,0.428571428571429,0.142857142857143
"23","BK158",0.538461538461538,0.461538461538462,0.0769230769230769,0.230769230769231,0.384615384615385
"24","BK159",0.875,0.875,0,0.5,0.125
"25","BK16",1,0,0,0.5,0
"26","BK162",0.25,0.125,0,0,0.75
"27","BK165",0.375,0.375,0.25,0.125,0.625
"28","BK176",0.5,0.375,0.25,0.375,0.25
"29","BK185",0.6,0.4,0,0.2,0.4
"30","BK186",1,0.166666666666667,0.5,0.333333333333333,0
"31","BK191",0.444444444444444,0.333333333333333,0,0.222222222222222,0.444444444444444
"32","BK193",0.222222222222222,0.333333333333333,0,0,0.555555555555556
"33","BK200",0.4,0.4,0,0.1,0.5
"34","BK203",0.111111111111111,0.222222222222222,0,0.111111111111111,0.666666666666667
"35","BK211",0.833333333333333,0.388888888888889,0.444444444444444,0.0555555555555556,0.0555555555555556
"36","BK212",0.857142857142857,0.857142857142857,0,0.571428571428571,0.142857142857143
"37","BK215",0.333333333333333,0.555555555555556,0,0.666666666666667,0.111111111111111
"38","BK216",0,0.714285714285714,0,0,0.285714285714286
"39","BK218",0.25,0.375,0,0,0.625
"40","BK221",0.625,0.125,0.25,0.125,0.375
"41","BK228",0.875,0.625,0,0.5,0.125
"42","BK229",0.666666666666667,0.666666666666667,0.333333333333333,0.222222222222222,0.111111111111111
"43","BK23",0.909090909090909,0.727272727272727,0.0909090909090909,0.0909090909090909,0
"44","BK233",0.272727272727273,0.363636363636364,0,0,0.636363636363636
"45","BK236",0.777777777777778,0.555555555555556,0.111111111111111,0.555555555555556,0.111111111111111
"46","BK24",0.7,0.5,0.2,0.3,0.2
"47","BK240",0.8,0.6,0.0666666666666667,0.266666666666667,0.133333333333333
"48","BK241",0.375,0,0,0,0.625
"49","BK248",1,0.857142857142857,0,0.285714285714286,0
"50","BK249",0.5,0.375,0,0.125,0.5
"51","BK250",0.142857142857143,0,0,0,0.857142857142857
"52","BK252",0.857142857142857,0.428571428571429,0.571428571428571,0.285714285714286,0.142857142857143
"53","BK253",0.285714285714286,0.285714285714286,0,0,0.571428571428571
"54","BK256",0.727272727272727,0.272727272727273,0,0.0909090909090909,0.272727272727273
"55","BK259",0.75,0.75,0,0.75,0
"56","BK260",0.545454545454545,0.727272727272727,0.0909090909090909,0,0.272727272727273
"57","BK263",0.5,0.2,0.3,0,0.3
"58","BK264",0.166666666666667,0.5,0,0.166666666666667,0.5
"59","BK266",0.3,0.9,0,0.1,0.1
"60","BK269",1,1,0,0.6,0
"61","BK275",0.666666666666667,0.666666666666667,0.222222222222222,0.111111111111111,0
"62","BK28",0.181818181818182,0.0909090909090909,0,0,0.818181818181818
"63","BK29",0.363636363636364,0.727272727272727,0.181818181818182,0.272727272727273,0.181818181818182
"64","BK40",1,0.375,0,0.125,0
"65","BK43",0.333333333333333,0.444444444444444,0.111111111111111,0.222222222222222,0.444444444444444
"66","BK45",0.222222222222222,0,0.222222222222222,0,0.777777777777778
"67","BK47",0.666666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333
"68","BK48",0.833333333333333,0.666666666666667,0.25,0.333333333333333,0
"69","BK50",0.777777777777778,0.444444444444444,0,0.333333333333333,0.111111111111111
"70","BK54",0.555555555555556,0.666666666666667,0.222222222222222,0,0.222222222222222
"71","BK57",0.777777777777778,0.666666666666667,0.333333333333333,0.222222222222222,0.222222222222222
"72","BK59",1,0.444444444444444,0.111111111111111,0.333333333333333,0
"73","BK61",0.714285714285714,0.428571428571429,0,0.285714285714286,0.142857142857143
"74","BK62",0.333333333333333,0.444444444444444,0,0,0.444444444444444
"75","BK65",0.6,0.7,0.1,0.2,0.3
"76","BK7",0.444444444444444,0.333333333333333,0.333333333333333,0,0.444444444444444
"77","BK75",0.571428571428571,0.714285714285714,0,0.428571428571429,0.285714285714286
"78","BK77",0.666666666666667,0.6,0.2,0.2,0.2
"79","BK80",0.75,0.625,0,0.125,0.125
"80","BK85",0.6,0.7,0,0.1,0.2
"81","BK86",0.636363636363636,0.545454545454545,0.181818181818182,0.0909090909090909,0.181818181818182
"82","BK88",0.666666666666667,0.555555555555556,0,0.111111111111111,0.333333333333333
"83","BK90",0.777777777777778,0.777777777777778,0,0.333333333333333,0
"84","BK91",0.7,0.9,0.2,0.2,0
"85","BK92",0,0,0,0,1
"86","BK96",0.857142857142857,0.714285714285714,0.285714285714286,0.142857142857143,0.142857142857143
"87","BK97",0.833333333333333,0.666666666666667,0.833333333333333,0.166666666666667,0
"88","BK98",0.5,0.583333333333333,0,0.166666666666667,0.416666666666667
"89","BK99",0.8,0.8,0,0.5,0
