"","X7_Cell_ID","Soil","Sand","Gravel","Rocky"
"1","BK1",0.875,0.25,0,0
"2","BK101",0.444444444444444,0.555555555555556,0,0
"3","BK104",0,1,0,0
"4","BK107",0.875,0.25,0,0
"5","BK111",1,0.714285714285714,0,0
"6","BK113",1,0.5,0,0
"7","BK115",1,0.125,0,0
"8","BK123",0.571428571428571,1,0,0
"9","BK124",0.666666666666667,0.444444444444444,0,0
"10","BK127",0.4,1,0,0
"11","BK128",1,0.375,0,0
"12","BK129",0.777777777777778,0.666666666666667,0,0
"13","BK131",1,0,0,0
"14","BK14",0.333333333333333,0.916666666666667,0.0833333333333333,0
"15","BK142",0.875,0.5,0,0
"16","BK144",0.875,0.375,0,0
"17","BK147",1,0.25,0,0
"18","BK148",1,0.636363636363636,0,0
"19","BK149",1,0.363636363636364,0,0
"20","BK152",1,0,0,0
"21","BK153",0.666666666666667,0.333333333333333,0,0
"22","BK156",1,0,0,0
"23","BK158",0.0769230769230769,1,0,0
"24","BK159",0.625,0.75,0,0
"25","BK16",0.666666666666667,0.5,0.333333333333333,0
"26","BK162",0.375,0.625,0,0
"27","BK165",0.875,0.75,0,0
"28","BK176",0.5,0.625,0,0
"29","BK185",0.3,0.7,0,0
"30","BK186",0.833333333333333,0.166666666666667,0,0
"31","BK191",0.888888888888889,0.111111111111111,0,0
"32","BK193",0.777777777777778,0.666666666666667,0.111111111111111,0
"33","BK200",1,0.4,0,0
"34","BK203",1,0.333333333333333,0.111111111111111,0
"35","BK211",1,0.0555555555555556,0,0
"36","BK212",0.857142857142857,0.142857142857143,0,0
"37","BK215",1,0,0,0
"38","BK216",0.714285714285714,0.714285714285714,0,0
"39","BK218",1,0.5,0,0
"40","BK221",0.625,0.25,0.125,0
"41","BK228",0.625,0.375,0,0
"42","BK229",1,0,0,0
"43","BK23",0.454545454545455,0.727272727272727,0,0
"44","BK233",0.454545454545455,0.636363636363636,0,0
"45","BK236",0.888888888888889,0.111111111111111,0,0
"46","BK24",1,0,0,0
"47","BK240",1,0,0.2,0
"48","BK241",0.625,0.5,0,0
"49","BK248",1,0,0,0
"50","BK249",0.875,0.125,0,0
"51","BK250",1,0,0,0
"52","BK252",0.571428571428571,1,0,0
"53","BK253",0.428571428571429,0.571428571428571,0,0
"54","BK256",1,0.181818181818182,0,0
"55","BK259",1,0,0,0
"56","BK260",0.727272727272727,0.818181818181818,0,0
"57","BK263",0.9,0.5,0,0
"58","BK264",0.833333333333333,0.5,0,0
"59","BK266",1,0,0,0
"60","BK269",1,0,0,0
"61","BK275",0.777777777777778,0.222222222222222,0.111111111111111,0
"62","BK28",0.636363636363636,0.636363636363636,0,0
"63","BK29",1,0,0,0
"64","BK40",0.875,0.75,0,0
"65","BK43",0.777777777777778,0.333333333333333,0,0
"66","BK45",1,0.777777777777778,0,0
"67","BK47",0.833333333333333,0.333333333333333,0,0
"68","BK48",1,0,0,0
"69","BK50",1,0,0,0
"70","BK54",1,0.111111111111111,0,0
"71","BK57",0.777777777777778,0.666666666666667,0,0
"72","BK59",0.666666666666667,0.555555555555556,0,0
"73","BK61",1,0,0,0
"74","BK62",0.777777777777778,0.666666666666667,0,0
"75","BK65",1,0.2,0,0
"76","BK7",0.777777777777778,0.888888888888889,0,0
"77","BK75",0.714285714285714,0.285714285714286,0,0
"78","BK77",0.733333333333333,0.733333333333333,0,0
"79","BK80",0.875,0.125,0,0
"80","BK85",1,0,0,0
"81","BK86",0.818181818181818,0.727272727272727,0,0
"82","BK88",0.666666666666667,0.666666666666667,0,0
"83","BK90",1,0,0,0
"84","BK91",1,0.2,0,0
"85","BK92",1,0.4,0,0
"86","BK96",1,0.142857142857143,0,0
"87","BK97",0.333333333333333,0.833333333333333,0,0
"88","BK98",0.833333333333333,0.666666666666667,0,0
"89","BK99",0.8,0.5,0.1,0
